id,name,mana,card_class,card_type,description,artwork_path,rarity,keywords,draft_tag,attack,health,subtype,ability_id,ability_trigger,ability_cost,ability_target_mode,ability_value,ability_arg,effect_id,effect_value,target_mode,school,effect_arg
A00001,Bat Fiend,2,Dark,minion,2/3.,"1-1.png, 2-1.png",common,,generated,2,3,Demon,,,0,,0,,,0,,,
A00002,Night Rat,3,Dark,minion,3/4. Flying.,"1-2.png, 2-2.png",common,FLYING,generated,3,4,Rat,,,0,,0,,,0,,,
A00003,Dark Harpy,4,Dark,minion,4/3.,"1-3.png, 2-3.png",common,,generated,4,3,Beast,,,0,,0,,,0,,,
A00004,Crypt Hound,5,Dark,minion,5/6. Flying.,"1-4.png, 2-4.png",common,FLYING,generated,5,6,Undead,,,0,,0,,,0,,,
A00005,Void Stalker,2,Dark,minion,2/5.,"1-5.png, 2-5.png",common,,generated,2,5,Horror,,,0,,0,,,0,,,
A00006,Grave Knight,4,Dark,minion,3/4. Double Strike.,"1-6.png, 2-6.png",rare,DOUBLE_STRIKE,generated,3,4,Knight,,,0,,0,,,0,,,
A00007,Winged Horror,6,Dark,minion,6/5. Flying.,"1-7.png, 2-7.png",rare,FLYING,generated,6,5,Horror,,,0,,0,,,0,,,
A00008,Shadow Bolt,2,Dark,spell,Deal 3 damage to an enemy minion.,s1.png,common,,generated,,,,,,0,,0,,deal_damage,3,enemy_minion,Shadow,
A00009,Dark Gift,3,Dark,spell,Draw 1 card.,s2.png,common,,generated,,,,,,0,,0,,draw_card,1,self,Dark,
A00010,Soul Drain,4,Dark,spell,Restore 4 health to your hero.,s3.png,common,,generated,,,,,,0,,0,,heal,4,friendly_hero,Dark,
A00011,Night Pulse,3,Dark,spell,Deal 2 damage to any target.,s4.png,common,,generated,,,,,,0,,0,,deal_damage,2,any_target,Dark,
A00012,Void Bloom,5,Dark,spell,Draw 2 cards.,s5.png,uncommon,,generated,,,,,,0,,0,,draw_card,2,self,Dark,
A00013,Grim Whisper,4,Dark,spell,Restore 3 health to a friendly minion.,s6.png,common,,generated,,,,,,0,,0,,heal,3,friendly_minion,Dark,
A00014,Black Flare,5,Dark,spell,Deal 4 damage to the enemy hero.,s7.png,rare,,generated,,,,,,0,,0,,deal_damage,4,enemy_hero,Shadow,
