id,category,title,body,tags,created_at,updated_at,in_godot
1,keyword,FLYING,"Minionen kan bara blockas av andra minions med FLYING eller REACH.
Flyande minions kan attackera fritt förbi marktrupper.","combat,movement",2026-04-18 19:01:01.802003+00,2026-04-18 19:01:01.802003+00,true
2,keyword,RAPID,"Minionen går direkt till FRONT_LINE när den spelas, utan att behöva vänta en tur.
Normalt startar minions i BACK_LINE och kan inte attackera förrän nästa tur.","combat,tempo",2026-04-18 19:01:01.802003+00,2026-04-18 19:01:01.802003+00,true
3,keyword,REACH,"Minionen kan blockera FLYING-minions trots att den inte flyger själv.
Bra defensivt verktyg mot flygande hot.","combat,defense",2026-04-18 19:01:01.802003+00,2026-04-18 19:01:01.802003+00,true
4,keyword,RANGE,"Minionen kan attackera utan att ta motskada vid direkt attack.
Fienden svarar inte med skada. om en flying anfaller kan du block med range utan att ta skada om flying ej dör går skadan till det mål den anföll mot","combat,offense",2026-04-18 19:01:01.802003+00,2026-05-02 17:10:03.58+00,true
5,keyword,FIRST_STRIKE,"Minionen delar ut sin skada innan motståndaren i strid.
Om motståndaren dör av first strike-skadan svarar den aldrig.",combat,2026-04-18 19:01:01.802003+00,2026-04-18 19:01:01.802003+00,true
6,keyword,DOUBLE_STRIKE,"Minionen attackerar två gånger per strid — först med first strike, sedan igen i normal stridsupplösning.","combat,offense",2026-04-18 19:01:01.802003+00,2026-04-18 19:01:01.802003+00,true
7,keyword,TWINSTRIKE,Minionen slår två separata måltavlor i en och samma attack.,"combat,offense",2026-04-18 19:01:01.802003+00,2026-04-18 19:01:01.802003+00,true
8,keyword,CANT_ATTACK,Minionen kan inte deklarera attacker. Kan fortfarande blockera och använda aktiverade förmågor.,"combat,restriction",2026-04-18 19:01:01.802003+00,2026-04-18 19:01:01.802003+00,false
9,keyword,PARRY,Minionen reducerar inkommande skada med sitt PARRY-värde. Ex: PARRY_2 reducerar all inkommande skada med 2.,"defense,combat",2026-04-18 19:01:01.802003+00,2026-04-18 19:01:01.802003+00,true
10,keyword,IRON_SKIN,Minionen är immun mot skada under 1 (eller definierat värde). Svår att ta bort med pytteskador.,defense,2026-04-18 19:01:01.802003+00,2026-04-18 19:01:01.802003+00,true
11,keyword,TOXIC,"Varje poäng skada den här minionen delar ut dödar målet direkt, oavsett hur mycket HP målet har kvar.","combat,removal",2026-04-18 19:01:01.802003+00,2026-04-18 19:01:01.802003+00,true
12,keyword,VAMPIRISM,Minionen återfår HP lika med den skada den delar ut. Lifesteal.,"combat,sustain",2026-04-18 19:01:01.802003+00,2026-04-18 19:01:01.802003+00,true
13,keyword,INSTANT,"Spellen med INSTANT kan spelas utanför din tur, som en reaktion.","timing,spell",2026-04-18 19:01:01.802003+00,2026-04-18 19:01:01.802003+00,true
14,effect,deal_damage,"Delar ut X skada till ett mål.
Används av spells och minion-abilities.
effect_value = mängd skada.
target_mode avgör vad som kan träffas.",damage,2026-04-18 19:01:01.802003+00,2026-04-18 19:01:01.802003+00,true
15,effect,draw_card,"Drar X kort från ditt deck.
effect_value = antal kort att dra.",card-draw,2026-04-18 19:01:01.802003+00,2026-04-18 19:01:01.802003+00,true
16,effect,heal,"Återställer X HP till ett mål.
effect_value = mängd HP.
target_mode avgör vad som kan läkas.",healing,2026-04-18 19:01:01.802003+00,2026-04-18 19:01:01.802003+00,true
17,effect,chain,"Upprepar effekten på ett nytt slumpmässigt mål efter att den första effekten löst sig.
Antal kedjor styrs av repeat_count.","aoe,bounce",2026-04-18 19:01:01.802003+00,2026-04-18 19:01:01.802003+00,true
18,ability,activate,"Triggern ""activate"" innebär att spelaren manuellt aktiverar förmågan under sin tur mot en kostnad (ability_cost mana).
Minionen måste vara i FRONT_LINE eller BACK_LINE — den kan inte ha attackerat samma tur.","trigger,active",2026-04-18 19:01:01.802003+00,2026-04-18 19:01:01.802003+00,false
19,ability,on_play,"Förmågan triggar automatiskt när minionen spelas från handen.
Ingen extra kostnad — effekten sker direkt.","trigger,passive",2026-04-18 19:01:01.802003+00,2026-04-18 19:01:01.802003+00,false
20,ability,on_death,"Förmågan triggar när minionen dör.
Deathrattle-effekter löser sig efter striden.","trigger,deathrattle",2026-04-18 19:01:01.802003+00,2026-04-18 19:01:01.802003+00,false
21,ability,on_attack,Förmågan triggar varje gång minionen attackerar.,"trigger,passive",2026-04-18 19:01:01.802003+00,2026-04-18 19:01:01.802003+00,false
22,rule,Zoner — FRONT_LINE & BACK_LINE,"Alla minions börjar i BACK_LINE när de spelas (om de inte har RAPID).
Från FRONT_LINE kan de attackera.
Flytt sker automatiskt i slutet av ägarens tur.","zones,movement",2026-04-18 19:01:01.802003+00,2026-04-18 19:01:01.802003+00,false
23,rule,Faser per tur,"DRAW → MAIN → ATTACK → BLOCK → CLEANUP → END_TURN

DRAW: Spelaren drar ett kort.
MAIN: Spela kort, aktivera förmågor.
ATTACK: Deklarera attacker med FRONT_LINE-minions.
BLOCK: Motspelaren tilldelar blockers.
CLEANUP: Strid löses, döda minions tas bort.
END_TURN: Korteffekter med ""efter tur""-villkor utlöses.","phases,turn",2026-04-18 19:01:01.802003+00,2026-04-18 19:01:01.802003+00,false
24,rule,Mana,"Varje spelare börjar med 1 mana och ökar med 1 per tur upp till max (10 eller konfigurerat).
Oanvänd mana försvinner i slutet av turen — den rullas inte över.","resources,mana",2026-04-18 19:01:01.802003+00,2026-04-18 19:01:01.802003+00,false
25,rule,Kortens UID-system,"Varje kortinstans får ett unikt runtime-ID (uid).
Spelare 0 börjar på uid 1, spelare 1 börjar på 1 000 000.
Detta förhindrar kollisioner mellan spelares kort.","technical,uid",2026-04-18 19:01:01.802003+00,2026-04-18 19:01:01.802003+00,false
26,rule,Blockfönster,"Efter att attackeraren deklarerats öppnar servern ett blockfönster.
Motspelaren har BLOCK_TIME sekunder på sig att sätta blockers.
Om ingen blockar går attacken igenom direkt mot hjälten.","combat,timing",2026-04-18 19:01:01.802003+00,2026-04-18 19:01:01.802003+00,false
27,suggestion,DRAFT,"Poängbaserad draft

förslag:
     |
     |
     |
     V

Spelare får 150 poäng vid start varje kort har ett poängvärde baserat på sällsynthet
legendary = 10
mellan = 3
basic = 1

kortlekens totala antal kort är EJ ett absolut nummer.
4 kort slumpas vid varje sekvens varav ett är alltid neutralt, resten av korten pekar åt det håll du tidigare valt.",DRAFT,2026-04-18 19:01:01.802003+00,2026-04-19 07:56:16.323+00,false
29,keyword,Dash,attackerar från backline och hamnar i front,,2026-04-19 07:06:54.039474+00,2026-04-19 07:06:53.881+00,true
30,keyword,Stealth/Lurking,"Kan ej bli attackerad elelr target, bara får skada av typ effekt, får man skada så blir man avslöjad",,2026-04-19 07:07:58.251914+00,2026-04-19 07:07:58.077+00,false
31,keyword,Pierce,Överbliven skada går igenom till core,,2026-04-19 07:08:53.741032+00,2026-04-19 07:08:53.64+00,false
33,keyword,Phantom damage,om du blockar en som har Phantom damage 2 så får du 2 skade först,,2026-04-19 17:30:41.425963+00,2026-04-19 17:30:41.314+00,false
34,keyword,Consume,Äter upp en minion men den kommer tillbaka om consumer dör,,2026-04-19 19:02:53.753084+00,2026-04-19 19:02:53.655+00,false
35,keyword,Guardian,Autoblock attackers,,2026-04-19 19:41:24.797599+00,2026-04-19 19:41:24.458+00,false
