card_id,attack,health,subtype,ability_id,ability_trigger,ability_cost,ability_target_mode,ability_targeting_mode,ability_value,ability_arg,target_filter
A00004,3,2,,,,4,,explicit,0,,
A00006,2,2,,,,0,,explicit,0,,
A00014,1,3,,,,0,,explicit,0,,
A00016,1,1,,,,0,,explicit,0,,
A00019,2,1,Demon,,,0,,explicit,0,,
A00020,1,3,Goblin,,,0,,explicit,0,,
A00021,1,3,,,,0,,explicit,0,,
A00022,1,3,,,,0,,explicit,0,,
A00024,3,1,Skeleton,,,0,,explicit,0,,
A00027,2,2,Troll,,,0,,explicit,0,,
A00036,1,2,parasite,,,0,,explicit,0,,
A00037,1,4,undead,,,0,,explicit,0,,
A00038,3,3,Undead,deal_damage,activate,0,target_minion,explicit,0,cost:discard:1,
A00041,1,2,Demon,,,0,,explicit,0,,
A00044,1,3,Monster,,,0,,explicit,0,,
A00045,0,3,Skeleton,,,0,,explicit,0,,
A00046,1,1,Skeleton,,,0,,explicit,0,,
A00055,2,1,Skeleton,,,0,,explicit,0,,
A00056,1,2,Skeleton,,,0,,explicit,0,,
A00066,1,1,,,,0,,explicit,0,,
A00067,3,3,,,,0,,explicit,0,,
A00070,1,1,Sorcerer,,,0,,explicit,0,,
A00072,1,3,Fish,,,0,,explicit,0,,
A00073,2,1,Insect,,,0,,explicit,0,,
A00081,1,1,Goblin,,,0,,explicit,0,,
A00082,2,3,Ogre,,,0,,explicit,0,,
A00083,1,2,Goblin,,,0,,explicit,0,,
A00084,1,3,,,,0,,explicit,0,,
A00087,4,1,Goblin,,,0,,explicit,0,,
A00089,1,1,,,,0,,explicit,0,,
A00090,1,3,Goblin,,,0,,explicit,0,,
A00091,1,3,Goblin,,,0,,explicit,0,,
A00092,1,1,Goblin,,,0,,explicit,0,,
A00094,1,2,Goblin,,,0,,explicit,0,,
A00095,1,1,Goblin,,,0,,explicit,0,,
A00096,1,1,Goblin,,,0,,explicit,0,,
A00097,4,5,Monster,,,0,,explicit,0,,
A00098,4,3,Seacreature,,,0,,explicit,0,,
A00099,1,1,Fish,,,0,,explicit,0,,
A00100,2,1,Fish,,,0,,explicit,0,,
A00101,1,2,Fish,,,0,,explicit,0,,
A00102,1,3,Fish,,,0,,explicit,0,,
A00110,1,1,,,,0,,explicit,0,,
A00117,1,2,Insect,,,0,,explicit,0,,
A00118,1,1,Goblin,,,0,,explicit,0,,
A00119,2,1,Insect,,,0,,explicit,0,,
A00122,2,2,Insect,,,0,,explicit,0,,
A00123,2,3,Troll,,,0,,explicit,0,,
A00129,1,1,Goblin,,,0,,explicit,0,,
A00133,0,4,Dark,,,0,,explicit,0,,
A00136,1,3,Dark,,,0,,explicit,0,,
A00137,1,2,Crab,,,0,,explicit,0,,
A00138,1,3,Beast,,,0,,explicit,0,,
A00139,2,3,,,,0,,explicit,0,,
A00141,2,1,Wastlander,,,0,,explicit,0,,
A00142,1,1,,,,0,,explicit,0,,
A00143,3,5,Golem,,,0,,explicit,0,,
A00144,2,3,,,,0,,explicit,0,,
A00146,1,3,Dark,,,0,,explicit,0,,
A00147,1,1,Human,,,0,,explicit,0,,
A00148,1,1,Human,,,0,,explicit,0,,
A00149,3,3,,,,0,,explicit,0,,
A00150,3,2,,,,0,,explicit,0,,
A00151,1,2,,,,0,,explicit,0,,
A00152,1,1,,,,0,,explicit,0,,
A00153,2,1,,,,0,,explicit,0,,
A00154,2,2,,,,0,,explicit,0,,
A00155,0,1,Wisp,,,0,,explicit,0,,
A00157,2,1,,,,0,,explicit,0,,
A00158,2,2,,,,0,,explicit,0,,
A00159,1,3,Seafolk,,,0,,explicit,0,,
A00160,2,2,Seafolk,,,0,,explicit,0,,
A00162,1,3,Seafolk,,,0,,explicit,0,,
A00163,3,2,Undead,,,0,,explicit,0,,
A00164,2,2,Dark,,,0,,explicit,0,,
A00165,1,2,Elf,,,0,,explicit,0,,
A00170,3,5,,draw_random_spell,on_attack,1,self,auto,0,,
A00171,1,3,,,,0,,explicit,0,,
A00172,1,1,Blob,draw_random_spell,on_death,0,self,auto,0,,
A00173,2,1,Jellyfish,gain_mana,on_death,0,friendly_player,auto,2,,
A00174,2,1,Fish,,,0,,explicit,0,,
A00181,2,1,Fish,,,0,,explicit,0,,
A00182,1,1,Insect,,,0,,explicit,0,,
A00183,1,3,,,,0,,explicit,0,,
A00187,1,2,,,,0,,explicit,0,,
A00188,1,1,Goblin,,,0,,explicit,0,,
