card_id,effect_id,effect_value,target_mode,targeting_mode,school,effect_arg,repeat_count,repeat_mode,target_filter
A00007,,0,,explicit,,,1,same_target,
A00017,,0,,explicit,,,1,same_target,
A00018,,0,,explicit,,,1,same_target,
A00025,,0,,explicit,,,1,same_target,
A00026,,0,,explicit,,,1,same_target,
A00028,,0,,explicit,,,1,same_target,
A00029,,0,,explicit,,,1,same_target,
A00030,,0,,explicit,,,1,same_target,
A00031,,0,,explicit,,,1,same_target,
A00032,,0,,explicit,,,1,same_target,
A00033,,0,,explicit,,,1,same_target,
A00034,,0,,explicit,,,1,same_target,
A00035,,0,,explicit,,,1,same_target,
A00039,,0,,explicit,,,1,same_target,
A00040,,0,,explicit,,,1,same_target,
A00042,,0,,explicit,,,1,same_target,
A00043,,0,,explicit,,,1,same_target,
A00047,,0,,explicit,,,1,same_target,
A00048,,0,,explicit,,,1,same_target,
A00049,,0,,explicit,,,1,same_target,
A00050,,0,,explicit,,,1,same_target,
A00051,,0,,explicit,,,1,same_target,
A00052,,0,,explicit,,,1,same_target,
A00053,,0,,explicit,,,1,same_target,
A00054,,0,,explicit,,,1,same_target,
A00057,,0,,explicit,,,1,same_target,
A00058,,0,,explicit,,,1,same_target,
A00059,,0,,explicit,,,1,same_target,
A00060,,0,,explicit,,,1,same_target,
A00061,,0,,explicit,,,1,same_target,
A00062,,0,,explicit,,,1,same_target,
A00063,,0,,explicit,,,1,same_target,
A00064,,0,,explicit,,,1,same_target,
A00065,,0,,explicit,,,1,same_target,
A00068,,0,,explicit,,,1,same_target,
A00069,,0,,explicit,,,1,same_target,
A00076,,0,,explicit,,,1,same_target,
A00077,,0,,explicit,,,1,same_target,
A00078,,0,,explicit,,,1,same_target,
A00085,,0,,explicit,,,1,same_target,
A00086,,0,,explicit,,,1,same_target,
A00093,,0,,explicit,,,1,same_target,
A00105,,0,,explicit,,,1,same_target,
A00106,,0,,explicit,,,1,same_target,
A00107,,0,,explicit,,,1,same_target,
A00120,,0,,explicit,,,1,same_target,
A00121,,0,,explicit,,,1,same_target,
A00124,,0,,explicit,,,1,same_target,
A00125,,0,,explicit,,,1,same_target,
A00126,,0,,explicit,,,1,same_target,
A00127,,0,,explicit,,,1,same_target,
A00128,,0,,explicit,,,1,same_target,
A00130,,0,,explicit,,,1,same_target,
A00131,,0,,explicit,,,1,same_target,
A00132,,0,,explicit,,,1,same_target,
A00145,,0,,explicit,,,1,same_target,
A00156,,0,,explicit,,,1,same_target,
A00161,,0,,explicit,,,1,same_target,
A00175,,0,,explicit,,,1,same_target,
A00176,,0,,explicit,,,1,same_target,
A00177,,0,,explicit,,,1,same_target,
A00178,,0,,explicit,,,1,same_target,
A00179,,0,,explicit,,,1,same_target,
A00180,,0,,explicit,,,1,same_target,
A00186,,0,,explicit,,,1,same_target,
