card_id,armor,subtype,maintenance_cost,ability_id,ability_cost,ability_target_mode,ability_targeting_mode,ability_value,ability_arg,repair_cost,repair_value,trigger_id,trigger_value,trigger_target_mode,target_filter
A00005,7,,2,,0,,explicit,0,,4,0,,0,enemy_hero,
A00008,5,,2,,0,,explicit,0,,0,0,,0,enemy_hero,
A00009,5,,2,,0,,explicit,0,,0,0,,0,enemy_hero,
A00010,7,,0,,0,,explicit,0,,0,0,,0,enemy_hero,
A00011,5,,2,,0,,explicit,0,,0,0,,0,enemy_hero,
A00012,5,,1,,0,,explicit,0,,0,0,,0,enemy_hero,
A00015,3,,2,,0,,explicit,0,,0,0,,0,enemy_hero,
A00023,5,,1,,0,,explicit,0,,0,0,,0,enemy_hero,
A00071,1,,3,,0,,explicit,0,,0,0,,0,enemy_hero,
A00074,2,,0,,0,,explicit,0,,0,0,,0,enemy_hero,
A00075,1,,1,,0,,explicit,0,,0,0,,0,enemy_hero,
A00079,1,,1,,0,,explicit,0,,0,0,,0,enemy_hero,
A00080,5,,3,,0,,explicit,0,,0,0,,0,enemy_hero,
A00088,3,Weapon,1,deal_damage,1,target_minion,random,0,,1,0,,0,enemy_hero,
A00103,7,,2,,0,,explicit,0,,2,0,,0,enemy_hero,
A00104,7,,2,,0,,explicit,0,,3,0,,0,enemy_hero,
A00108,1,,2,,0,,explicit,0,,0,0,,0,enemy_hero,
A00109,5,,1,,0,,explicit,0,,0,0,,0,enemy_hero,
A00111,4,Tower,1,,0,,explicit,0,,4,0,,0,enemy_hero,
A00112,4,Tower,1,,0,,explicit,0,,0,0,,0,enemy_hero,
A00113,4,Source,1,,0,,explicit,0,,0,0,,0,enemy_hero,
A00114,3,Structure : Well,1,,0,,explicit,0,,1,0,,0,enemy_hero,
A00115,5,Structure Silo,1,,0,,explicit,0,,0,0,,0,enemy_hero,
A00116,2,Altar,0,,0,,explicit,0,,3,0,,0,enemy_hero,
A00134,3,,0,,0,,explicit,0,,1,0,,0,enemy_hero,
A00135,5,,1,,0,,explicit,0,,1,0,,0,enemy_hero,
A00166,3,Structure,1,,0,,explicit,0,,2,0,,0,enemy_hero,
A00167,5,Structure,2,,0,,explicit,0,,2,0,,0,enemy_hero,
A00168,2,,0,,0,,explicit,0,,0,0,,0,enemy_hero,
A00169,3,Structure,1,deal_damage,0,enemy_minion,auto,1,Firs minion,1,1,,0,target_minion,
A00184,2,,1,,0,,explicit,0,,1,1,,0,enemy_hero,
A00185,3,Construction,0,deal_damage,2,target_minion,explicit,0,,1,1,,0,enemy_hero,
